module,no,jurisdiction,authority_tier,law_or_bill,title_en,agency,effective_date,source_id,source_url,url_status
labor,93,New York City,city_local,NYC Lactation Accommodation (Local Laws 185/186 of 2018),NYC Lactation Accommodation,NYC Commission on Human Rights,2019-03-18,dcwp_dol_labor,https://www.nyc.gov/site/cchr/law/lactation.page,live_200
labor,94,Federal,federal,National Labor Relations Act — Protected Concerted Activity (§7),NLRA Section 7 — Protected Concerted Activity,NLRB,,dcwp_dol_labor,https://www.nlrb.gov/about-nlrb/rights-we-protect/the-law/employees,live_200
labor,95,Federal,federal,Form I-9 Employment Eligibility Verification (IRCA),Form I-9 Employment Eligibility Verification,USCIS / DHS,,dcwp_dol_labor,https://www.uscis.gov/i-9,live_200
labor,96,New York State,state,NY Paid Family Leave,NY Paid Family Leave,NY Workers' Comp Board,2018-01-01,dcwp_dol_labor,https://paidfamilyleave.ny.gov/,live_200
labor,97,New York State,state,NY Paid Prenatal Personal Leave (Labor Law §196-b),NY Paid Prenatal Leave,NY DOL,2025-01-01,dcwp_dol_labor,https://www.ny.gov/new-york-state-paid-prenatal-leave/paid-prenatal-leave-faqs,live_200
labor,98,New York State,state,NY Sexual Harassment Prevention Policy & Annual Training,NY Sexual Harassment Prevention,NY DOL / NY DHR,2019-10-09,dcwp_dol_labor,https://www.ny.gov/programs/combating-sexual-harassment-workplace,live_200
labor,99,Federal,federal,FLSA Federal Minimum Wage & Overtime,FLSA Federal Minimum Wage & Overtime,US DOL Wage & Hour Division,,dcwp_dol_labor,https://www.dol.gov/agencies/whd/flsa,bot_blocked
labor,100,New York City,city_local,Required Federal/State/City Workplace Postings,Required Workplace Postings,US DOL / NY DOL / NYC DCWP,,dcwp_dol_labor,https://dol.ny.gov/posting-requirements-under-nys-labor-law,live_200
building,1,Federal,federal,OSHA Bloodborne Pathogens Standard,OSHA Bloodborne Pathogens Standard,"Occupational Safety and Health Administration (OSHA), U.S. Department of Labor",1992-03-06,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1030,live_200
building,2,Federal,federal,OSHA Sanitation Standard (General Industry),OSHA Sanitation Standard (General Industry),"Occupational Safety and Health Administration (OSHA), U.S. Department of Labor",1971-05-29,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.141,live_200
building,3,Federal,federal,OSHA Respiratory Protection Standard,OSHA Respiratory Protection Standard,"Occupational Safety and Health Administration (OSHA), U.S. Department of Labor",1998-04-08,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,live_200
building,4,Federal,federal,OSHA Storage and Handling of Liquefied Petroleum Gases,OSHA Storage and Handling of Liquefied Petroleum Gases (LPG/Propane),"Occupational Safety and Health Administration (OSHA), U.S. Department of Labor",1971-05-29,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.110,live_200
building,5,Federal,federal,"Americans with Disabilities Act, Title I — Employment","Americans with Disabilities Act (ADA), Title I — Employment",U.S. Equal Employment Opportunity Commission (EEOC),1994-07-26,osha_dob_building,https://www.eeoc.gov/statutes/titles-i-and-v-americans-disabilities-act-1990-ada,live_200
building,6,Federal,federal,ADA Title III — 2010 Standards for Accessible Design & Barrier Removal,ADA Title III — 2010 Standards for Accessible Design and Barrier Removal in Existing Facilities,"U.S. Department of Justice (DOJ), Civil Rights Division",2012-03-15,osha_dob_building,https://www.access-board.gov/ada/,live_200
building,7,Federal,federal,DOJ ADA Title II Rule on Accessibility of Web Content and Mobile Apps,DOJ Final Rule: Accessibility of Web Content and Mobile Apps Provided by State and Local Governments (ADA Title II),"U.S. Department of Justice (DOJ), Civil Rights Division",2027-04-26,osha_dob_building,https://www.federalregister.gov/documents/2024/04/24/2024-07758/nondiscrimination-on-the-basis-of-disability-accessibility-of-web-information-and-services-of-state,live_200
building,8,Federal,federal,EEOC Final Rule Implementing the Pregnant Workers Fairness Act,EEOC Final Rule Implementing the Pregnant Workers Fairness Act (PWFA),U.S. Equal Employment Opportunity Commission (EEOC),2024-06-18,osha_dob_building,https://www.eeoc.gov/wysk/what-you-should-know-about-pregnant-workers-fairness-act,live_200
building,9,Federal,federal,OSHA Improve Tracking of Workplace Injuries and Illnesses (Electronic Submission Expansion),OSHA Final Rule: Improve Tracking of Workplace Injuries and Illnesses (Electronic Submission),"Occupational Safety and Health Administration (OSHA), U.S. Department of Labor",2024-01-01,osha_dob_building,https://www.osha.gov/recordkeeping/final-rule,live_200
building,10,Federal,federal,FLSA Child Labor — Hazardous Occupations & Youth Employment in Restaurants,Fair Labor Standards Act (FLSA) Child Labor Provisions — Hazardous Occupations and Youth Employment in Restaurants,"Wage and Hour Division (WHD), U.S. Department of Labor",1971-02-12,osha_dob_building,https://www.dol.gov/agencies/whd/fact-sheets/2a-child-labor-restaurants,bot_blocked
building,11,New York State,state,New York Retail Worker Safety Act (Workplace Violence Prevention for Retail Employees),New York Retail Worker Safety Act — Retail Workplace Violence Prevention,New York State Department of Labor (NYSDOL),2025-06-02,osha_dob_building,https://dol.ny.gov/retail-worker-safety,live_200
building,12,New York State,state,2025 Uniform Fire Prevention and Building Code of New York State (19 NYCRR Parts 1220–1227),2025 New York State Uniform Fire Prevention and Building Code,"NYS Department of State, Division of Building Standards and Codes (Fire Prevention and Building Code Council)",2025-12-31,osha_dob_building,https://dos.ny.gov/administration-and-enforcement-uniform-fire-prevention-and-building-code-and-energy-conservation,live_200
building,13,New York State,state,2020 Energy Conservation Construction Code of New York State (NYSECCC),2020 Energy Conservation Construction Code of New York State,"NYS Department of State, Division of Building Standards and Codes",2020-05-12,osha_dob_building,https://dos.ny.gov/division-building-standards-and-codes-frequently-asked-questions,live_200
building,14,New York City,city_local,NYC Fire Code 2022 — Commercial Cooking Fire-Extinguishing Systems (FC 904.3.8),2022 NYC Fire Code — Commercial Cooking Fire-Extinguishing Systems (FC 904.3.8),Fire Department of the City of New York (FDNY),2022-04-15,osha_dob_building,https://codes.iccsafe.org/content/NYNYCFC2022P1/preface-and-acknowlegements,live_200
building,15,New York City,city_local,FDNY Certificate of Fitness S-17 — Commercial Cooking Wet Chemical Fire Extinguishing Systems,FDNY Certificate of Fitness S-17 — Commercial Cooking Wet Chemical Fire Extinguishing Systems,Fire Department of the City of New York (FDNY),,osha_dob_building,https://www.nyc.gov/site/fdny/business/all-certifications/cof-s17.page,live_200
building,16,New York City,city_local,"NYC Fire Code — Portable Fire Extinguishers, including Class K for Commercial Cooking (FC 906)","NYC Fire Code — Portable Fire Extinguishers, incl. Class K (FC 906)",Fire Department of the City of New York (FDNY),2022-04-15,osha_dob_building,https://nyc-business.nyc.gov/nycbusiness/description/portable-fire-extinguisher-requirements,live_200
building,17,New York State,state,"Cross-Connection Control / Backflow Prevention (10 NYCRR Part 5, § 5-1.31)",Cross-Connection Control / Backflow Prevention (10 NYCRR § 5-1.31),New York State Department of Health (and the local public water supplier),,osha_dob_building,https://www.law.cornell.edu/regulations/new-york/10-NYCRR-5-1.31,live_200
building,18,New York State,state,ADA Title I Employment Provisions (with New York State Human Rights Law overlay),ADA Title I — Employment (with New York State Human Rights Law),U.S. Equal Employment Opportunity Commission (EEOC); NYS Division of Human Rights for NYSHRL,1992-07-26,osha_dob_building,https://www.eeoc.gov/publications/ada-your-responsibilities-employer,live_200
building,19,New York City,city_local,NYC Local Law 97 of 2019 — Building Greenhouse Gas Emissions Limits,NYC Local Law 97 of 2019 — Building Greenhouse Gas Emissions Limits,NYC Department of Buildings (Office of Building Energy and Emissions Performance),2024-01-01,osha_dob_building,https://www.urbangreencouncil.org/what-we-do/driving-innovative-policy/ll97/,live_200
building,20,New York City,city_local,NYC Local Law 26 of 2004 — High-Rise Office Building Sprinkler Retrofit,NYC Local Law 26 of 2004 — High-Rise Office Building Sprinkler Retrofit,NYC Department of Buildings (DOB) / FDNY,2019-07-01,osha_dob_building,https://www.nyc.gov/site/buildings/codes/local-laws.page,live_200
building,21,New Jersey,state,New Jersey State Uniform Construction Code Act (Uniform Construction Code),New Jersey State Uniform Construction Code Act,"New Jersey Department of Community Affairs (DCA), Division of Codes and Standards",1977-01-01,osha_dob_building,https://www.nj.gov/dca/codes/codreg/pdf_regs/52_27D_119.pdf,live_200
building,22,New Jersey,state,"New Jersey Building Subcode (2021 International Building Code, NJ Edition)",New Jersey Building Subcode (2021 IBC New Jersey Edition),"New Jersey Department of Community Affairs (DCA), Division of Codes and Standards",2022-09-06,osha_dob_building,https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-5-23-3-14,live_200
building,23,New Jersey,state,New Jersey Barrier Free Subcode (IBC Chapter 11 Accessibility / ICC A117.1-2017),"New Jersey Barrier Free Subcode (Accessibility, IBC Chapter 11)","New Jersey Department of Community Affairs (DCA), Division of Codes and Standards",2022-09-06,osha_dob_building,https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-5-23-7-1,live_200
building,24,New Jersey,state,Certificate of Occupancy and Change of Use Requirements (UCC),Certificate of Occupancy and Change of Use Requirements,New Jersey Department of Community Affairs (DCA); local construction officials,1977-01-01,osha_dob_building,https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-5-23-2-23,live_200
building,25,New Jersey,state,New Jersey Uniform Fire Code — Registration & Inspection and Fire Safety Permits (2018 IFC adoption),"New Jersey Uniform Fire Code — Registration, Inspection & Permits","New Jersey Department of Community Affairs (DCA), Division of Fire Safety; local fire officials",2024-10-15,osha_dob_building,https://www.law.cornell.edu/regulations/new-jersey/title-5/chapter-70,live_200
building,26,New Jersey,state,New Jersey Mechanical Subcode (2021 IMC) — Commercial Kitchen Exhaust,New Jersey Mechanical Subcode (2021 IMC) — Commercial Kitchen Exhaust,"New Jersey Department of Community Affairs (DCA), Division of Codes and Standards",2022-09-06,osha_dob_building,https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-5-23-3-20,live_200
building,27,New Jersey,state,NJDEP Safe Drinking Water Act — Cross-Connection Control / Backflow Prevention,NJDEP Safe Drinking Water Act — Backflow Prevention,"New Jersey Department of Environmental Protection (NJDEP), Bureau of Safe Drinking Water; coordinated with UCC Plumbing Subcode",2004-01-05,osha_dob_building,https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-7-10-10-1,live_200
building,28,New Jersey,state,New Jersey Smoke-Free Air Act — No-Smoking Signage,New Jersey Smoke-Free Air Act — No-Smoking Signage,New Jersey Department of Health (and local boards of health),2006-04-15,osha_dob_building,https://www.law.cornell.edu/regulations/new-jersey/title-8/chapter-6,live_200
building,29,New Jersey,state,ADA Title I (Employment) and NJ Law Against Discrimination — Disability Accommodation,ADA Title I (Employment) & NJ Law Against Discrimination,U.S. Equal Employment Opportunity Commission (EEOC); NJ Division on Civil Rights (NJLAD),1992-07-26,osha_dob_building,https://www.eeoc.gov/publications/ada-your-employment-rights-individual-disability,live_200
building,30,New Jersey,state,"Proposed Adoption of 2024 ICC Model Codes (2024 IBC/IMC/IPC-NSPC/IECC, 2023 NEC) into the UCC",Proposed Adoption of 2024 ICC Model Codes into the NJ UCC,"New Jersey Department of Community Affairs (DCA), Division of Codes and Standards",,osha_dob_building,https://www.nj.gov/dca/codes/codreg/pdf_rule_proposals/2024_prop_p1.pdf,live_200
building,31,New Jersey,state,Federal OSHA Coverage of Private-Sector NJ Employers (PEOSH State Plan covers public sector only),Federal OSHA Coverage of Private-Sector NJ Employers,Federal Occupational Safety and Health Administration (OSHA); NJ PEOSH (public sector only),1971-04-28,osha_dob_building,https://www.osha.gov/stateplans/nj,live_200
building,32,California,state,Injury and Illness Prevention Program (IIPP),Injury and Illness Prevention Program (IIPP),Cal/OSHA — California Division of Occupational Safety and Health (DIR),1991-07-01,osha_dob_building,https://www.dir.ca.gov/title8/3203.html,live_200
building,33,California,state,Workplace Violence Prevention Plan (SB 553),Workplace Violence Prevention Plan (SB 553),Cal/OSHA — California Division of Occupational Safety and Health (DIR),2024-07-01,osha_dob_building,https://www.dir.ca.gov/dosh/workplace-violence.html,live_200
building,34,California,state,Heat Illness Prevention in Indoor Places of Employment,Heat Illness Prevention in Indoor Places of Employment,Cal/OSHA — California Division of Occupational Safety and Health (DIR),2024-07-23,osha_dob_building,https://www.dir.ca.gov/title8/3396.html,live_200
building,35,California,state,"2022 California Building Code, Title 24, Part 2","2022 California Building Code (Title 24, Part 2)",California Building Standards Commission (BSC) / Dept. of General Services,2023-01-01,osha_dob_building,https://codes.iccsafe.org/content/CABC2022P1,live_200
building,36,California,state,2025 California Building Standards Code (Title 24),2025 California Building Standards Code (Title 24),California Building Standards Commission (BSC) / Dept. of General Services,2026-01-01,osha_dob_building,https://www.dgs.ca.gov/bsc/codes,live_200
building,37,California,state,"2022 California Fire Code, Title 24, Part 9","2022 California Fire Code (Title 24, Part 9)",California Building Standards Commission / Office of the State Fire Marshal (CAL FIRE),2023-01-01,osha_dob_building,https://codes.iccsafe.org/content/CAFC2022P1,live_200
building,38,California,state,CBC Chapter 11B — Accessible Parking Identification Signage,CBC Chapter 11B — Accessible Parking Identification Signage,Division of the State Architect (DSA) / California Building Standards Commission,2023-01-01,osha_dob_building,https://up.codes/viewer/california/ca-building-code-2022/chapter/11B/accessibility-to-public-buildings-public-accommodations-commercial-buildings-and,live_200
building,39,California,state,Construction-Related Accessibility Standards Compliance Act (CASp / Disability Access Notice),Construction-Related Accessibility Standards Compliance Act (CASp / Disability Access Notice),California Commission on Disability Access / Division of the State Architect (CASp program),2013-01-01,osha_dob_building,https://law.justia.com/codes/california/code-civ/division-1/part-2-52/section-55-53,bot_blocked
building,40,California,state,"CALGreen — California Green Building Standards Code (Title 24, Part 11)","CALGreen — California Green Building Standards Code (Title 24, Part 11)",California Building Standards Commission (BSC) / Dept. of General Services,2023-01-01,osha_dob_building,https://www.dgs.ca.gov/bsc/calgreen,live_200
building,41,California,state,Certificate of Occupancy / Change of Occupancy (CBC Section 111),Certificate of Occupancy / Change of Occupancy (CBC Section 111),Local building departments (per California Building Code),2023-01-01,osha_dob_building,https://www.corada.com/documents/2019CBCPG/section-111-certificate-of-occupancy,live_200
building,42,California,state,Cross-Connection Control Policy Handbook (Backflow Prevention),Cross-Connection Control Policy Handbook (Backflow Prevention),State Water Resources Control Board — Division of Drinking Water,2024-07-01,osha_dob_building,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/2023/cccph-adopt.pdf,live_200
building,43,Massachusetts,state,"780 CMR — Massachusetts State Building Code, 10th Edition (base code: 2021 IBC with MA amendments)","Massachusetts State Building Code, 780 CMR, 10th Edition","Board of Building Regulations and Standards (BBRS), Department of Public Safety / Office of Public Safety and Inspections",2024-10-11,osha_dob_building,https://www.mass.gov/info-details/dates-and-editions-of-massachusetts-building-code-780-cmr,bot_blocked
building,44,Massachusetts,state,"527 CMR 1.00 — Massachusetts Comprehensive Fire Safety Code (based on NFPA 1, 2021 Edition with MA amendments)","Massachusetts Comprehensive Fire Safety Code, 527 CMR 1.00",Board of Fire Prevention Regulations (BFPR) / Department of Fire Services; enforced by local fire department head (AHJ),2022-12-09,osha_dob_building,https://www.mass.gov/regulations/527-CMR-100-massachusetts-comprehensive-fire-safety-code,bot_blocked
building,45,Massachusetts,state,"527 CMR 1.00 — Next Edition Adopting NFPA 1, 2024 Edition (proposed Massachusetts amendments)","Massachusetts Comprehensive Fire Safety Code — Forthcoming Edition (NFPA 1, 2024)",Board of Fire Prevention Regulations (BFPR) / Department of Fire Services,,osha_dob_building,https://coderedconsultants.com/insights/ma-upcoming-code-update-electrical-and-fire-codes/,live_200
building,46,Massachusetts,state,521 CMR — Massachusetts Architectural Access Board (AAB) Rules and Regulations,"Massachusetts Architectural Access Board Regulations, 521 CMR","Massachusetts Architectural Access Board (AAB), Office of Consumer Affairs and Business Regulation; enforced by local building inspectors",2006-07-27,osha_dob_building,https://www.mass.gov/aab-rules-and-regulations,bot_blocked
building,47,Massachusetts,state,"527 CMR 12.00 — Massachusetts Electrical Code (based on NFPA 70, 2026 National Electrical Code with MA amendments)","Massachusetts Electrical Code, 527 CMR 12.00 (NFPA 70, 2026)",Board of Fire Prevention Regulations (BFPR) / Department of Fire Services; enforced by local wiring inspectors,2026-04-24,osha_dob_building,https://www.mass.gov/regulations/527-CMR-12-massachusetts-electrical-code-amendments,bot_blocked
building,48,Massachusetts,state,248 CMR 10.00 — Uniform State Plumbing Code (Cross-Connection/Backflow §10.14 and Grease Interceptors §10.09),"Massachusetts Uniform State Plumbing Code, 248 CMR 10.00",Board of State Examiners of Plumbers and Gas Fitters; backflow approvals via MassDEP; enforced by local plumbing inspector,2023-12-08,osha_dob_building,https://www.mass.gov/doc/248-cmr-10-uniform-state-plumbing-code/download,bot_blocked
building,49,Massachusetts,state,Federal OSHA Jurisdiction over Massachusetts Private-Sector Employers (Occupational Safety and Health Act of 1970),Federal OSHA Coverage of Massachusetts Private-Sector Employers,"U.S. Department of Labor — Occupational Safety and Health Administration (OSHA), Boston South Area Office (Braintree, MA)",1971-04-28,osha_dob_building,https://www.osha.gov/contactus/bystate/MA/areaoffice,live_200
building,50,Massachusetts,state,"Massachusetts Smoke-Free Workplace Law, M.G.L. c. 270, § 22 (Posting/Signage and Smoking Prohibition)","Massachusetts Smoke-Free Workplace Law, M.G.L. c. 270, § 22",Massachusetts Department of Public Health (DPH); enforced by local boards of health,2004-07-05,osha_dob_building,https://malegislature.gov/Laws/GeneralLaws/PartIV/TitleI/Chapter270/Section22,live_200
building,51,Massachusetts,state,225 CMR 23.00 — Massachusetts Stretch Code and Municipal Opt-in Specialized Code (Commercial; 2025 amendments to IECC 2021 / ASHRAE 90.1-2019),"Massachusetts Stretch and Specialized Energy Code (Commercial), 225 CMR 23.00","Department of Energy Resources (DOER); adopted/enforced via local building departments under M.G.L. c. 25A, § 6",2025-02-14,osha_dob_building,https://www.mass.gov/regulations/225-CMR-2300-massachusetts-stretch-code-and-specialized-code-for-commercial-multi-family-and-all-other-construction-2025-amendments-to-iecc2021-and-ashrae-standards-901-2019,bot_blocked
building,52,Florida,state,"Florida Building Code, Building, 8th Edition (2023)","Florida Building Code, Building, 8th Edition (2023)",Florida Building Commission / Department of Business and Professional Regulation (DBPR),2023-12-31,osha_dob_building,https://codes.iccsafe.org/content/FLBC2023P1,live_200
building,53,Florida,state,"Florida Building Code, Accessibility, 8th Edition (2023)","Florida Building Code, Accessibility, 8th Edition (2023)",Florida Building Commission / DBPR,2023-12-31,osha_dob_building,https://codes.iccsafe.org/content/FLAC2023P1,live_200
building,54,Florida,state,"Florida Fire Prevention Code, 8th Edition (2023) — NFPA 1 & NFPA 101","Florida Fire Prevention Code, 8th Edition (2023) (NFPA 1 Fire Code & NFPA 101 Life Safety Code)","Florida State Fire Marshal, Department of Financial Services",2023-12-31,osha_dob_building,https://myfloridacfo.com/division/sfm/bfp/florida-fire-prevention-code,live_200
building,55,Florida,state,Cross-Connection Control for Public Water Systems,Cross-Connection Control for Public Water Systems,Florida Department of Environmental Protection (FDEP),2014-05-05,osha_dob_building,https://www.flrules.org/gateway/RuleNo.asp?ID=62-555.360,live_200
building,56,Florida,state,HB 433 — Employment Regulations (preemption of local heat-exposure and employment ordinances),HB 433 (2024) — Employment Regulations (preemption of local heat-exposure requirements),Florida Legislature (signed by the Governor),2024-07-01,osha_dob_building,https://www.flsenate.gov/Session/Bill/2024/433/BillText/er/PDF,live_200
building,57,Florida,state,"Florida Building Code, 9th Edition (2026) — code update in development","Florida Building Code, 9th Edition (2026) (in development)",Florida Building Commission / DBPR,2026-12-31,osha_dob_building,https://www.floridabuilding.org/fbc/thecode/2_thecode.htm,live_200
building,58,Washington DC,city_local,2017 District of Columbia Building Code (DCMR Title 12-A),2017 District of Columbia Building Code (DCMR Title 12-A),DC Department of Buildings (DOB),2020-05-29,osha_dob_building,https://dob.dc.gov/page/dc-construction-codes,live_200
building,59,Washington DC,city_local,2017 District of Columbia Fire Code (DCMR Title 12-H),2017 District of Columbia Fire Code (DCMR Title 12-H),DC Fire and Emergency Medical Services (FEMS) — Fire Marshal; DC DOB,2020-05-29,osha_dob_building,https://up.codes/viewer/district-of-columbia/ifc-2015,live_200
building,60,Washington DC,city_local,Certificate of Occupancy required before use (DC Code § 6-641.09),Certificate of Occupancy Required Before Use (D.C. Code § 6-641.09),DC Department of Buildings (DOB),,osha_dob_building,https://code.dccouncil.gov/us/dc/council/code/sections/6-641.09,live_200
building,61,Washington DC,city_local,"2010 ADA Standards for Accessible Design — Title III Public Accommodations (federal, applicable in DC)",2010 ADA Standards for Accessible Design — Title III Public Accommodations (federal),"U.S. Department of Justice, Civil Rights Division",2012-03-15,osha_dob_building,https://www.ada.gov/law-and-regs/design-standards/2010-stds/,live_200
building,62,Federal,federal,Occupational Noise Exposure (Hearing Conservation),OSHA Occupational Noise Exposure Standard — Hearing Conservation,U.S. Department of Labor — Occupational Safety and Health Administration (OSHA),1983-04-07,osha_dob_building,https://www.law.cornell.edu/cfr/text/29/1910.95,live_200
building,63,California,state,Safe Drinking Water and Toxic Enforcement Act of 1986 (Proposition 65),California Proposition 65 — Clear and Reasonable Warnings,California Office of Environmental Health Hazard Assessment (OEHHA); enforced by the CA Attorney General,1988-02-27,osha_dob_building,https://www.p65warnings.ca.gov/faq/businesses/what-requirements-does-proposition-65-place-companies-doing-business-california,live_200
building,64,New York City,city_local,Local Law 152 of 2016 — Periodic Inspection of Gas Piping Systems,NYC Local Law 152 of 2016 — Periodic Gas Piping System Inspections,New York City Department of Buildings (DOB),2019-01-01,osha_dob_building,https://www.nyc.gov/assets/buildings/local_laws/ll152of2016.pdf,live_200
building,65,Florida,state,Florida Fire Prevention Code (NFPA 1 / IFC §5307.3) — Insulated Liquid Carbon Dioxide Beverage-Dispensing Systems,Insulated Liquid Carbon Dioxide Systems Used in Beverage Dispensing (IFC/NFPA §5307.3),Florida State Fire Marshal (Dept. of Financial Services); local fire code officials; standard from the International Fire Code / NFPA,2023-12-31,osha_dob_building,https://up.codes/s/insulated-liquid-carbon-dioxide-systems-used-in-beverage-dispensing-applications,live_200
building,66,Florida,state,Florida Clean Indoor Air Act — Posting of Signs and No-Smoking/Vaping Policy,Florida Clean Indoor Air Act — No-Smoking/Vaping Signage and Policy,Florida Department of Health; Department of Business and Professional Regulation (DBPR),2003-07-01,osha_dob_building,https://law.justia.com/codes/florida/title-xxix/chapter-386/part-ii/section-386-206/,bot_blocked
building,67,Washington DC,city_local,"2017 District of Columbia Construction Codes (incl. Accessibility, A117.1) — DCMR Title 12","2017 DC Construction Codes (including Accessibility Code, ICC A117.1) — DCMR Title 12",District of Columbia Department of Buildings (DOB),2020-05-29,osha_dob_building,https://dob.dc.gov/page/dc-construction-codes,live_200
building,68,Florida,state,"Florida Building Code, Building, 9th Edition (2026)","Florida Building Code, Building, 9th Edition (2026)",Florida Building Commission (Department of Business and Professional Regulation),2026-12-31,osha_dob_building,https://codes.iccsafe.org/content/FLBC2026D,live_200
building,69,Federal,federal,Compressed Gases (General Requirements),OSHA Compressed Gases — General Requirements,U.S. Department of Labor — Occupational Safety and Health Administration (OSHA),1971-08-27,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.101,live_200
building,70,Washington DC,city_local,District of Columbia Sign Permit Requirement (DOB),District of Columbia Exterior Sign Permit Requirement,District of Columbia Department of Buildings (DOB); DDOT for signs in public space,,osha_dob_building,https://dob.dc.gov/node/1616101,live_200
building,71,California,state,California Retail Food Code — Backflow Protection and Grease Interceptor Requirements,California Retail Food Code — Backflow Protection and Grease Interceptor,California Department of Public Health; enforced by local environmental health departments,2024-01-01,osha_dob_building,https://law.justia.com/codes/california/code-hsc/division-104/part-7/chapter-7/article-1/section-114192/,bot_blocked
building,72,Federal,federal,OSHA General Industry Standards + General Duty Clause,OSHA General Industry Standards (29 CFR 1910) and General Duty Clause,Federal OSHA (US DOL),,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910,live_200
building,73,Federal,federal,OSHA Hazard Communication Standard (HazCom / GHS),OSHA Hazard Communication Standard,Federal OSHA (US DOL),,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200,live_200
building,74,Federal,federal,ADA Title III — Public Accommodations,ADA Title III — Public Accommodations (2010 ADA Standards),US DOJ / ADA,,osha_dob_building,https://www.ada.gov/topics/title-iii/,live_200
building,75,New York City,city_local,NYC Construction & Fire Codes — C of O and FDNY Permits,NYC Construction & Fire Codes — Certificate of Occupancy and FDNY Permits,NYC DOB / FDNY,,osha_dob_building,https://www.nyc.gov/site/buildings/index.page,live_200
building,76,Federal,federal,OSHA Emergency Action Plans,OSHA Emergency Action Plans,Federal OSHA (US DOL),,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.38,live_200
building,77,Federal,federal,OSHA Portable Fire Extinguishers,OSHA Portable Fire Extinguishers,Federal OSHA (US DOL),,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.157,live_200
building,78,Federal,federal,OSHA Exit Routes,OSHA Exit Routes,Federal OSHA (US DOL),,osha_dob_building,https://www.ecfr.gov/current/title-29/subtitle-B/chapter-XVII/part-1910/subpart-E,live_200
building,79,Federal,federal,OSHA Walking-Working Surfaces (slips/trips/falls),OSHA Walking-Working Surfaces,Federal OSHA (US DOL),2017-01-17,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.22,live_200
building,80,Federal,federal,OSHA Electrical,OSHA Electrical Safety,Federal OSHA (US DOL),,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910SubpartS,live_200
building,81,Federal,federal,OSHA Personal Protective Equipment (PPE),OSHA PPE General Requirements,Federal OSHA (US DOL),,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,live_200
building,82,Federal,federal,OSHA Injury & Illness Recordkeeping,OSHA Injury & Illness Recordkeeping,Federal OSHA (US DOL),,osha_dob_building,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.2,live_200
building,83,Federal,federal,OSHA Heat Injury & Illness Prevention (proposed),OSHA Heat Injury & Illness Prevention (proposed),Federal OSHA (US DOL),,osha_dob_building,https://www.federalregister.gov/documents/2025/09/25/2025-18670/heat-injury-and-illness-prevention-in-outdoor-and-indoor-work-settings,live_200
building,84,New York City,city_local,NFPA 96 Commercial Kitchen Exhaust & Fire Suppression,NFPA 96 Commercial Kitchen Exhaust & Fire Suppression,FDNY / NYC DOB,,osha_dob_building,https://www.nfpa.org/product/nfpa-96-standard/p0096code,live_200
building,85,New York City,city_local,NYC DOB Sign Permit,NYC DOB Sign Permit,NYC DOB,,osha_dob_building,https://www.nyc.gov/site/buildings/property-or-business-owner/sign-permit.page,live_200
building,86,New York City,city_local,NYC Backflow Prevention / Cross-Connection Control,NYC Backflow Prevention Device,NYC DEP,,osha_dob_building,https://www.nyc.gov/site/dep/about/cross-connection-controls.page,live_200
building,87,New York City,city_local,NYC Accessibility (Building Code Chapter 11),NYC Accessibility (Building Code Ch. 11),NYC DOB,,osha_dob_building,https://www.nyc.gov/assets/buildings/local_laws/ll58of1987.pdf,live_200
building,88,New York City,city_local,NYC Place of Assembly Certificate of Operation,NYC Place of Assembly Certificate,FDNY / NYC DOB,,osha_dob_building,https://www.nyc.gov/site/buildings/property-or-business-owner/place-of-assembly-certificate-of-operation.page,live_200
environment,1,Federal,federal,General Pretreatment Regulations — Prohibited Discharge Standards (40 CFR 403.5),Federal Pretreatment Prohibited Discharges — FOG / Obstruction of POTW Flow,U.S. Environmental Protection Agency (EPA),1978-06-26,dep_dsny_env,https://www.law.cornell.edu/cfr/text/40/403.5,live_200
